id,name,sku,variable
421,"SELENITE, ORANGE",SEL,ONG
422,SEPTARIA,SEPT,
423,SERAPHINITE,SRA,
424,SERPENTINE,SRP,
425,"SERPENTINE, PINK",SRP,PNK
426,SHATTUCKITE,SHT,
427,SHIVA LINGAM,SHV,LNG
428,"SHRILING GLASS, GREEN",SHGLS,GRN
429,SHUNGITE,SNG,
430,"SHUNGITE, ELITE",SNG,ELT
431,"SINGLE TERMINATE, WAND",STW,
432,SMAMATITE,SHM,
433,SMITHSONITE,SMT,
434,SODALITE,SDA,
435,"SODALITE, SUNSET",SDA,SUN
436,SPHALERITE,SPH,
437,SPHERE,SPHR,
438,SPINEL,SPN,
439,STICHTITE,STC,
440,STILBITE,STB,
441,"STONE, GREEN SPOT",STN,GRSP
442,"STONE, RED LINE",STN,RDLN
443,"STROMATOLITE, CHINA",STRM,CHN
444,SUGILITE,SUG,
445,SUNSTONE,SST,
446,"SUNSTONE, ILLUSION",SST,ILU
447,SUPER 7 (MELODY'S STONE),SUP7,
448,TANZANITE,TNZ,
449,TEKTITE,TKT,
450,"TEKTITE, LIBYAN GOLD",TKT,LIB
451,TERAHERTZ,THRZ,
452,TETRAHEDRON,TTHDRN,
453,THULITE,THU,
454,TIGER'S EYE,TGR,
455,"TIGER'S EYE, BLUE (HAWK EYE, FALCON EYE)",TGR,BLU
456,"TIGER'S EYE, GOLD",TGR,GLD
457,"TIGER'S EYE, GREEN",TGR,GRN
458,"TIGER'S EYE, RED",TGR,RED
459,"TIGRINA, STONE",TGST,
460,TOPAZ,TPZ,
461,"TOPAZ, IMPERIAL",TPZ,IMP
462,TOURMALINE,TOUR,
463,"TOURMALINE, BLACK",TOUR,BLK
464,"TOURMALINE, BLUE",TOUR,BLU
465,"TOURMALINE, GREEN",TOUR,GRN
466,"TOURMALINE, MIXED",TOUR,MXD
467,"TOURMALINE, ORANGE",TOUR,ONG
468,"TOURMALINE, PINK",TOUR,PNK
469,"TOURMALINE, PINK LEPIDOLITE IN QTZ",TOUR,PNKL
470,"TOURMALINE, WATERMELON",TOUR,WTRM
471,TREMOLITE,TRM,
472,TRIPLITE,TRPL,
473,TROLLEITE,TRLT,
474,TURQUOISE,TRQ,
475,UNAKITE,UNK,
476,VANADINITE,VND,
477,VARISCITE ,VRS,
478,VERDITE ,VRD,
479,VESUVIANITE,VES,
480,VIVIANITE,VIV,
481,WAGNERITE,WGNR,
482,ZEBRADORITE,ZBR,
483,ZEOLITES,ZEO,
484,ZIRCON (JACINTH),ZRC,
485,"ZOISITE, RUBY",ZOI,RBY
